 ,Mean1,XM1,YM1
1,-3505.500,223.498,107.001
2,-3505.314,223.499,106.999
3,-3504.514,223.499,106.999
4,-3502.428,223.500,107.001
5,-3504.443,223.500,107.001
6,-3505.886,223.500,107.001
7,-3505.586,223.500,107.000
8,-3505.714,223.500,107.000
9,-3503.386,223.499,107.000
10,-3504.471,223.499,107.000
11,-3503.657,223.499,107.000
12,-3505.457,223.499,107.001
13,-3505.900,223.500,107.000
14,-3505.271,223.500,107.000
15,-3506.186,223.500,107.000
16,-3505.943,223.500,107.000
17,-3507.143,223.500,107.001
18,-3506.586,223.499,107.001
19,-3508.129,223.500,107.000
20,-3506.329,223.499,106.999
21,-3505.400,223.499,106.999
22,-3504.586,223.499,106.999
23,-3504.143,223.500,107.000
24,-3505.086,223.499,106.999
25,-3507.757,223.500,107.000
26,-3506.757,223.501,106.998
27,-3503.729,223.499,107.000
28,-3504.400,223.501,107.000
29,-3505.100,223.499,107.001
30,-3507.171,223.501,107.001
31,-3507.414,223.501,107.000
32,-3506.114,223.499,106.999
33,-3506.457,223.498,106.999
34,-3504.943,223.501,107.000
35,-3505.557,223.500,107.001
36,-3505.971,223.499,106.999
37,-3506.714,223.499,107.000
38,-3505.257,223.500,107.000
39,-3504.586,223.499,106.999
40,-3505.500,223.500,107.001
41,-3505.000,223.501,107.000
42,-3506.029,223.500,107.000
43,-3507.414,223.500,107.000
44,-3507.171,223.499,106.999
45,-3505.200,223.500,106.999
46,-3504.586,223.500,107.000
47,-3506.057,223.499,107.000
48,-3507.572,223.501,107.001
49,-3507.800,223.500,106.999
50,-3506.871,223.500,106.999
51,-3504.243,223.500,107.000
52,-3504.914,223.500,107.000
53,-3506.029,223.501,107.001
54,-3507.471,223.501,107.000
55,-3506.286,223.501,106.999
56,-3504.614,223.501,106.999
57,-3505.072,223.500,106.999
58,-3505.257,223.500,107.000
59,-3505.300,223.500,107.001
60,-3508.129,223.500,107.003
61,-3507.686,223.499,107.000
62,-3505.729,223.500,107.000
63,-3505.329,223.499,107.000
64,-3504.514,223.500,107.000
65,-3507.671,223.501,107.002
66,-3508.300,223.499,107.000
67,-3506.286,223.500,106.998
68,-3505.157,223.500,106.999
69,-3503.957,223.499,107.000
70,-3507.029,223.501,107.001
71,-3507.443,223.500,107.001
72,-3507.072,223.500,107.000
73,-3507.928,223.501,106.999
74,-3506.300,223.498,107.001
75,-3505.743,223.499,107.000
76,-3507.143,223.499,107.001
77,-3508.157,223.500,107.001
78,-3507.829,223.500,107.000
79,-3506.428,223.500,107.000
80,-3504.771,223.500,107.000
81,-3504.600,223.501,106.999
82,-3506.329,223.499,107.001
83,-2285.886,223.501,106.975
84,47.857,223.481,106.974
85,47.429,223.488,107.001
86,32.171,223.398,107.025
87,32.600,223.528,106.972
88,33.643,223.582,106.911
89,31.786,223.539,107.060
90,32.357,223.542,107.055
91,33.457,223.576,106.960
92,34.414,223.518,106.991
93,31.343,223.483,107.130
94,32.757,223.585,107.002
95,32.243,223.434,106.994
96,32.514,223.467,106.993
97,32.129,223.445,107.009
98,33.900,223.411,106.997
99,32.257,223.439,106.977
100,33.986,223.559,107.034
101,32.486,223.557,107.089
102,32.614,223.450,106.962
103,34.143,223.601,107.009
104,33.100,223.506,107.048
105,33.200,223.449,106.962
106,33.771,223.519,107.018
107,32.986,223.611,106.982
108,34.014,223.586,107.018
109,33.114,223.367,106.970
