 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13,Mean14,XM14,YM14,Mean15,XM15,YM15,Mean16,XM16,YM16,Mean17,XM17,YM17,Mean18,XM18,YM18,Mean19,XM19,YM19,Mean20,XM20,YM20,Mean21,XM21,YM21,Mean22,XM22,YM22,Mean23,XM23,YM23,Mean24,XM24,YM24,Mean25,XM25,YM25,Mean26,XM26,YM26,Mean27,XM27,YM27,Mean28,XM28,YM28,Mean29,XM29,YM29,Mean30,XM30,YM30,Mean31,XM31,YM31,Mean32,XM32,YM32,Mean33,XM33,YM33,Mean34,XM34,YM34,Mean35,XM35,YM35,Mean36,XM36,YM36,Mean37,XM37,YM37,Mean38,XM38,YM38,Mean39,XM39,YM39,Mean40,XM40,YM40,Mean41,XM41,YM41,Mean42,XM42,YM42,Mean43,XM43,YM43,Mean44,XM44,YM44,Mean45,XM45,YM45,Mean46,XM46,YM46,Mean47,XM47,YM47,Mean48,XM48,YM48,Mean49,XM49,YM49,Mean50,XM50,YM50,Mean51,XM51,YM51,Mean52,XM52,YM52
1,39.643,224.039,107.356,47.163,174.237,151.886,54.059,153.108,159.417,53.169,122.724,165.117,62.097,254.495,297.255,58.144,275.154,281.748,53.774,309.626,165.621,64.301,221.843,376.938,67.629,248.149,368.262,56.739,289.048,341.635,64.174,343.699,366.949,48.452,343.727,307.614,64.345,372.388,333.523,71.593,358.209,189.976,67.163,362.613,257.611,80.861,395.062,253.337,66.493,210.950,193.785,45.416,260.371,136.739,57.110,148.934,193.558,75.548,136.751,225.162,42.324,306.785,120.938,49.814,320.781,132.052,45.859,363.178,130.373,41.783,373.396,112.756,49.904,428.873,148.288,88.712,462.123,250.148,74.801,385.194,283.875,64.869,364.350,285.638,48.049,310.302,435.673,51.903,297.495,399.481,57.055,312.107,379.944,71.741,253.175,246.994,74.735,273.934,238.831,75.395,309.434,247.120,54.089,278.467,152.178,42.524,209.597,125.269,40.669,436.847,116.322,88.128,323.048,207.960,61.794,385.244,302.044,63.752,384.631,317.365,40.073,394.628,436.661,63.462,312.072,202.157,55.649,309.270,179.677,57.048,285.309,393.586,55.426,349.489,324.636,60.339,343.553,344.701,32.500,254.213,475.430,40.435,405.834,411.373,54.159,346.255,333.820,48.863,301.225,321.169,51.822,282.641,329.335,42.088,248.327,407.482
2,34.686,223.737,107.402,57.471,174.643,152.090,45.743,153.117,159.382,52.935,123.278,165.483,59.841,254.142,298.089,60.096,275.347,281.348,60.883,309.394,165.243,55.409,221.742,376.851,53.404,247.648,369.018,62.955,288.686,342.034,85.809,343.218,366.759,96.148,343.772,307.943,67.638,372.255,333.720,51.791,358.277,189.508,79.163,362.462,258.467,82.416,394.964,253.514,54.772,210.887,193.789,54.673,260.459,136.410,58.184,149.118,193.944,55.433,136.162,225.216,42.441,306.502,120.928,34.214,320.837,132.251,42.724,363.024,129.668,39.296,373.251,112.947,36.843,428.824,148.262,47.538,462.323,250.513,74.232,385.701,285.080,80.328,364.530,285.406,44.683,310.027,436.036,43.903,297.787,399.734,59.637,311.635,379.976,61.386,253.839,247.359,101.934,274.546,238.643,104.621,309.606,247.173,56.895,279.228,152.527,46.657,209.675,125.106,36.392,437.098,115.981,101.824,323.219,208.414,68.756,385.314,302.160,51.158,384.692,317.385,37.661,394.321,437.050,82.673,312.180,202.828,63.567,309.424,179.445,48.875,285.355,394.458,64.669,349.401,325.239,69.688,343.084,344.706,34.380,253.917,475.248,36.522,405.537,411.931,65.167,346.723,333.799,58.041,301.571,321.098,60.486,282.623,329.669,46.599,248.274,407.357
3,43.857,223.559,107.323,44.288,174.322,152.423,48.551,152.776,159.344,41.927,122.438,165.272,92.705,254.744,298.414,75.212,275.751,281.769,61.000,308.991,164.860,65.068,221.810,377.500,58.815,247.650,368.728,67.477,289.121,342.164,81.104,343.517,366.501,120.017,343.819,307.741,72.198,372.600,334.103,52.164,358.371,189.667,72.186,363.039,258.090,90.163,394.676,253.952,63.441,211.129,193.674,53.626,259.615,137.005,39.831,149.156,194.042,39.500,136.612,225.215,39.890,307.388,121.032,41.486,320.763,132.660,38.365,362.537,130.294,38.417,373.299,112.183,36.400,428.624,148.431,44.606,461.672,250.287,64.457,385.401,283.633,86.051,364.460,285.167,45.293,309.503,435.061,37.194,297.982,399.798,48.027,311.767,380.188,60.892,254.053,246.662,71.229,274.230,238.856,104.158,309.557,247.140,55.316,279.386,152.828,39.886,209.271,125.374,33.142,436.841,116.265,80.892,323.472,208.206,64.487,385.641,302.063,58.880,384.669,316.971,34.403,394.468,437.172,87.962,311.528,202.400,81.897,309.408,179.710,52.087,286.227,394.189,61.919,349.416,325.291,68.755,343.172,344.441,37.530,253.823,475.586,42.791,405.622,411.688,71.317,346.574,333.536,54.212,301.901,321.694,53.534,282.061,329.488,48.876,248.176,407.291
4,38.314,223.318,107.072,50.577,175.180,152.044,55.515,152.904,158.961,45.629,122.812,165.806,103.874,255.162,298.270,64.445,275.677,282.056,56.898,309.567,165.007,61.244,221.339,377.084,61.298,247.894,368.966,68.892,289.316,342.111,86.487,343.534,366.708,92.939,343.266,308.219,57.119,372.009,333.829,51.678,358.707,189.694,79.930,362.363,257.742,91.747,394.435,253.650,63.566,210.753,193.476,49.593,259.962,136.419,47.493,149.467,193.810,50.692,136.253,225.298,44.838,307.714,120.896,43.779,320.471,132.267,41.019,362.969,130.057,38.913,373.462,112.649,35.322,428.228,148.318,53.240,461.955,250.229,63.344,385.769,284.324,88.270,364.558,285.309,41.713,310.373,435.765,47.548,298.086,399.075,46.089,312.102,380.985,69.892,253.872,247.189,89.446,274.577,239.145,106.887,309.341,247.319,58.563,279.020,152.536,52.530,209.286,125.085,38.534,436.781,115.870,90.034,323.326,208.636,71.340,385.162,301.953,52.165,384.539,317.124,37.935,394.474,437.116,79.731,312.501,203.218,106.608,309.777,179.323,48.817,285.645,393.988,59.500,349.083,325.111,65.630,343.236,344.882,38.657,253.904,474.964,41.130,405.322,411.558,54.317,347.073,333.700,55.589,301.266,321.057,54.932,282.126,328.569,45.058,248.708,407.749
5,37.786,223.659,106.618,58.019,174.095,151.945,48.037,152.578,159.164,44.782,123.238,165.045,96.855,254.996,297.988,66.788,275.226,281.468,68.818,309.647,165.611,55.551,221.725,376.791,57.358,247.678,369.094,54.943,289.273,342.283,97.548,343.377,366.706,111.730,343.272,307.897,66.972,371.757,333.733,51.616,358.420,189.819,67.965,362.293,258.003,95.127,394.752,253.502,57.088,211.107,193.903,57.696,260.089,136.472,45.603,149.329,193.471,56.990,136.379,225.325,40.287,306.445,120.505,50.807,320.520,132.548,43.731,363.190,130.042,45.348,373.062,112.107,32.487,428.575,148.684,45.808,461.651,250.511,60.795,385.347,284.290,94.350,364.635,284.782,40.634,309.733,435.441,43.815,297.915,399.316,51.308,311.913,380.320,76.452,253.986,246.599,70.133,274.841,238.859,105.525,309.408,247.419,55.568,278.986,152.894,49.566,209.183,125.085,41.804,436.670,115.948,87.405,323.093,208.455,73.567,384.882,301.907,63.128,384.201,317.333,39.484,394.554,436.966,79.279,311.928,203.103,84.412,309.332,179.325,46.731,285.650,394.005,58.978,349.475,325.539,67.328,343.260,344.697,37.837,254.156,475.364,43.235,405.251,411.597,56.500,346.026,333.732,74.685,301.783,320.769,71.870,282.723,328.991,44.891,248.159,407.411
6,35.957,223.914,107.252,50.221,174.399,151.855,52.029,152.787,159.208,40.645,122.720,165.647,89.845,255.214,298.232,62.774,275.415,281.922,67.664,309.378,166.227,64.188,221.857,376.850,59.768,247.276,368.525,64.193,288.621,342.396,89.843,343.425,366.599,113.174,343.575,308.045,56.316,372.274,333.975,47.040,358.383,189.876,74.558,362.656,257.964,90.006,394.635,253.804,62.654,211.009,193.893,57.299,260.118,136.981,45.640,148.934,193.934,57.837,136.516,225.098,46.316,307.069,120.893,47.793,320.989,132.131,42.846,362.909,129.776,40.713,373.491,112.299,35.496,428.413,148.465,43.327,462.026,250.136,75.980,385.382,284.339,88.920,364.613,284.397,45.567,309.998,435.282,43.242,298.194,399.759,40.699,311.872,380.518,63.235,253.961,247.042,99.602,274.927,239.025,99.706,309.444,246.917,55.000,279.066,152.985,52.958,209.444,125.387,38.068,436.814,116.107,79.797,323.139,208.411,72.063,384.793,301.906,47.805,384.884,317.284,38.194,394.191,437.040,79.317,312.195,202.870,97.031,308.922,179.711,50.712,285.209,393.936,66.882,349.307,325.144,76.406,342.766,344.633,37.825,254.000,475.370,36.104,405.332,411.371,64.048,346.512,333.046,52.623,302.070,321.242,59.390,283.049,328.963,54.526,248.175,407.103
7,46.314,223.786,107.408,53.913,174.011,151.995,55.015,152.513,159.047,44.185,123.005,165.448,107.971,255.245,298.128,69.000,275.628,281.923,73.073,309.898,165.895,64.443,222.207,376.934,54.086,248.392,368.806,67.653,289.027,342.031,84.878,343.031,366.646,104.252,343.215,307.725,61.791,371.619,334.213,52.593,358.595,189.573,83.465,362.774,258.682,96.428,394.635,253.393,68.824,211.193,193.931,58.481,259.981,136.753,41.250,149.205,194.010,54.029,136.712,225.727,42.566,306.974,121.230,42.207,320.565,132.461,42.724,363.279,129.702,41.452,373.525,112.241,40.878,428.537,148.641,52.298,461.644,250.117,73.649,384.883,284.630,105.664,364.433,284.659,49.823,309.766,435.204,44.315,298.353,398.908,45.000,311.584,380.782,81.970,253.360,246.667,89.873,275.128,238.970,106.542,309.314,247.137,57.995,279.140,152.435,43.633,209.133,125.086,40.561,436.831,115.784,94.480,322.782,208.359,58.786,385.507,302.006,58.932,383.931,317.480,36.000,394.666,437.228,72.740,312.157,202.590,102.320,308.953,179.434,58.615,285.570,393.369,55.537,349.065,325.161,66.365,342.487,344.525,33.301,254.058,475.279,38.626,405.333,411.686,67.286,346.463,333.677,64.171,302.129,320.995,59.315,282.677,329.042,50.350,248.275,407.282
8,37.829,223.656,107.627,48.154,174.614,152.327,44.368,152.785,159.177,47.242,122.544,165.281,90.246,255.223,298.234,61.473,275.983,282.071,68.861,309.696,165.685,57.455,221.982,377.134,63.358,247.789,368.556,70.767,288.791,341.850,107.843,343.333,366.783,97.296,343.512,308.142,59.864,371.687,333.522,57.740,358.475,189.935,81.500,362.514,258.229,91.681,393.959,253.379,64.831,210.295,193.709,59.780,260.208,137.089,42.515,149.392,193.864,52.721,136.738,224.907,40.125,306.973,120.946,46.943,320.971,133.130,37.910,363.282,130.258,40.504,373.902,112.801,35.400,428.413,148.412,44.750,461.659,250.398,72.166,385.433,284.138,94.146,364.626,284.937,41.726,309.595,434.986,44.516,297.994,399.535,44.904,311.459,380.175,69.645,253.479,246.937,77.627,274.298,238.988,104.011,308.959,247.195,61.442,279.234,152.927,52.307,209.708,124.979,41.723,436.633,115.972,87.399,322.781,208.387,77.202,385.232,301.841,53.842,384.770,317.285,41.065,394.645,436.788,81.567,312.513,203.153,92.443,309.444,179.933,59.875,285.635,394.021,60.750,349.168,325.186,64.016,342.587,344.691,35.717,254.033,475.351,36.791,405.296,411.458,77.976,346.296,333.504,54.493,301.650,321.100,56.897,282.664,329.312,47.496,248.484,407.441
9,36.871,223.878,107.186,57.577,174.418,151.906,50.449,152.623,158.868,39.210,122.705,165.503,89.773,255.024,297.996,64.548,275.611,281.843,79.956,309.170,165.913,63.528,221.827,376.946,68.192,247.354,368.502,55.705,289.043,342.564,88.617,343.433,366.542,105.843,343.117,308.127,56.333,372.195,334.061,52.475,358.477,190.000,71.872,362.620,258.273,92.211,394.401,253.701,57.750,211.605,193.769,54.972,259.555,136.822,35.728,149.058,193.709,59.500,136.997,224.766,44.684,306.734,120.855,51.257,321.230,132.474,42.006,362.933,129.513,35.478,373.741,112.397,43.296,427.786,148.677,52.394,461.702,250.310,69.225,385.464,284.543,87.423,364.271,285.365,41.232,309.827,436.162,47.895,297.802,399.084,51.438,311.294,380.019,66.494,254.040,247.029,92.735,274.341,238.520,99.836,309.652,247.589,58.516,279.261,152.567,43.837,209.093,125.115,40.608,436.893,116.032,73.534,323.269,208.025,68.962,385.719,301.720,57.812,384.742,317.091,37.831,394.292,436.518,78.212,311.695,202.969,91.794,309.201,179.677,55.846,285.468,394.388,56.853,349.451,325.443,68.266,342.215,344.336,37.524,253.788,475.163,36.861,405.166,411.599,64.206,345.909,333.633,48.486,301.630,321.159,51.849,282.541,329.691,49.380,247.926,407.232
10,49.029,224.064,107.384,57.135,174.331,151.984,49.640,152.939,159.200,48.605,122.732,165.524,111.773,254.612,298.210,64.438,275.792,281.343,69.204,309.802,165.852,54.784,222.020,377.534,60.166,248.013,368.780,64.222,288.559,342.076,117.357,343.728,366.891,105.452,343.322,308.013,60.525,372.316,333.461,62.192,358.179,190.121,94.698,362.898,257.568,96.241,394.763,253.219,66.007,211.223,193.981,60.907,259.882,136.854,41.243,148.515,194.084,46.288,136.496,224.934,51.051,306.281,121.137,40.493,320.605,132.269,44.468,362.714,130.223,36.600,373.714,112.203,41.617,428.135,148.486,47.423,461.643,250.448,69.649,385.461,284.034,103.723,364.231,284.751,46.134,309.734,435.695,48.145,298.212,399.547,59.384,311.848,380.914,82.524,253.427,246.282,97.807,273.977,239.320,104.898,309.181,246.923,48.958,279.255,152.333,48.048,209.546,125.107,40.054,436.662,116.022,84.135,323.077,207.753,75.118,385.237,302.466,52.684,384.759,316.964,42.960,394.685,436.968,72.760,311.553,202.836,96.433,309.035,180.164,55.894,285.773,393.918,59.978,348.969,325.306,74.703,342.824,344.586,34.886,253.915,475.463,36.713,405.559,411.430,60.317,346.507,333.045,58.219,301.600,321.530,55.164,282.315,328.873,60.204,248.354,407.608
